²¨³¤(nm)	ly-511-glass - RawData
350.0	3.2
350.5	3.2
351.0	3.2
351.5	3.1
352.0	3.1
352.5	3.1
353.0	3.1
353.5	3.1
354.0	3.1
354.5	3.1
355.0	3.1
355.5	3.1
356.0	3.1
356.5	3.0
357.0	3.0
357.5	3.0
358.0	3.0
358.5	3.0
359.0	3.0
359.5	2.9
360.0	2.9
360.5	2.9
361.0	2.9
361.5	2.9
362.0	2.8
362.5	2.8
363.0	2.8
363.5	2.8
364.0	2.8
364.5	2.7
365.0	2.7
365.5	2.7
366.0	2.7
366.5	2.6
367.0	2.6
367.5	2.6
368.0	2.6
368.5	2.5
369.0	2.5
369.5	2.5
370.0	2.4
370.5	2.4
371.0	2.4
371.5	2.0
372.0	1.6
372.5	1.3
373.0	0.9
373.5	0.6
374.0	0.6
374.5	0.6
375.0	0.6
375.5	0.6
376.0	0.6
376.5	0.6
377.0	0.6
377.5	0.6
378.0	0.6
378.5	0.6
379.0	0.6
379.5	0.6
380.0	0.6
380.5	0.6
381.0	0.6
381.5	0.6
382.0	0.6
382.5	0.6
383.0	0.6
383.5	0.6
384.0	0.6
384.5	0.6
385.0	0.6
385.5	0.6
386.0	0.6
386.5	0.6
387.0	0.6
387.5	0.6
388.0	0.6
388.5	0.6
389.0	0.6
389.5	0.6
390.0	0.6
390.5	0.6
391.0	0.5
391.5	0.5
392.0	0.5
392.5	0.5
393.0	0.5
393.5	0.5
394.0	0.5
394.5	0.5
395.0	0.5
395.5	0.5
396.0	0.5
396.5	0.5
397.0	0.5
397.5	0.5
398.0	0.5
398.5	0.5
399.0	0.5
399.5	0.5
400.0	0.5
400.5	0.5
401.0	0.5
401.5	0.5
402.0	0.5
402.5	0.5
403.0	0.5
403.5	0.5
404.0	0.5
404.5	0.5
405.0	0.5
405.5	0.5
406.0	0.5
406.5	0.5
407.0	0.5
407.5	0.5
408.0	0.5
408.5	0.5
409.0	0.5
409.5	0.5
410.0	0.5
410.5	0.5
411.0	0.5
411.5	0.5
412.0	0.5
412.5	0.5
413.0	0.5
413.5	0.5
414.0	0.5
414.5	0.5
415.0	0.5
415.5	0.5
416.0	0.5
416.5	0.6
417.0	0.6
417.5	0.6
418.0	0.6
418.5	0.6
419.0	0.6
419.5	0.6
420.0	0.6
420.5	0.6
421.0	0.6
421.5	0.6
422.0	0.6
422.5	0.6
423.0	0.6
423.5	0.6
424.0	0.6
424.5	0.6
425.0	0.6
425.5	0.6
426.0	0.6
426.5	0.6
427.0	0.6
427.5	0.6
428.0	0.6
428.5	0.6
429.0	0.6
429.5	0.6
430.0	0.6
430.5	0.6
431.0	0.6
