测定参数
[测定]
开始(nm):,650 nm
结束(nm):,350 nm
数据间隔(nm):,0.5
扫描速度:,中速
光度值类型:,反射率
[附件]
附件:,无
[高级设置]
狭缝宽度:,5.0
检测器单元:,外置(双检测器)
光源转换波长:,323
检测器转换波长:,830
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),反射率
350.0,35.0
350.5,35.4
351.0,35.8
351.5,36.2
352.0,36.7
352.5,37.2
353.0,37.6
353.5,37.9
354.0,38.3
354.5,38.7
355.0,39.0
355.5,39.4
356.0,39.7
356.5,40.1
357.0,40.4
357.5,40.7
358.0,41.0
358.5,41.4
359.0,41.7
359.5,42.0
360.0,42.4
360.5,42.8
361.0,43.1
361.5,43.4
362.0,43.7
362.5,44.0
363.0,44.3
363.5,44.7
364.0,44.9
364.5,45.2
365.0,45.6
365.5,45.9
366.0,46.2
366.5,46.6
367.0,47.0
367.5,47.4
368.0,47.7
368.5,48.1
369.0,48.5
369.5,48.8
370.0,49.1
370.5,49.5
371.0,49.9
371.5,50.1
372.0,50.5
372.5,50.7
373.0,51.0
373.5,51.2
374.0,51.6
374.5,52.1
375.0,52.5
375.5,52.9
376.0,53.3
376.5,53.8
377.0,54.2
377.5,54.6
378.0,55.1
378.5,55.6
379.0,56.0
379.5,56.5
380.0,57.0
380.5,57.4
381.0,57.9
381.5,58.3
382.0,58.8
382.5,59.3
383.0,59.8
383.5,60.3
384.0,60.8
384.5,61.3
385.0,61.8
385.5,62.3
386.0,62.8
386.5,63.3
387.0,63.8
387.5,64.3
388.0,64.9
388.5,65.4
389.0,65.9
389.5,66.4
390.0,66.9
390.5,67.4
391.0,67.9
391.5,68.4
392.0,68.8
392.5,69.3
393.0,69.8
393.5,70.4
394.0,70.9
394.5,71.4
395.0,72.0
395.5,72.5
396.0,73.0
396.5,73.5
397.0,73.9
397.5,74.3
398.0,74.7
398.5,75.2
399.0,75.6
399.5,76.1
400.0,76.5
400.5,77.0
401.0,77.4
401.5,77.8
402.0,78.3
402.5,78.7
403.0,79.1
403.5,79.5
404.0,79.9
404.5,80.3
405.0,80.6
405.5,81.0
406.0,81.3
406.5,81.6
407.0,82.0
407.5,82.3
408.0,82.7
408.5,83.0
409.0,83.3
409.5,83.5
410.0,83.8
410.5,84.1
411.0,84.3
411.5,84.6
412.0,84.8
412.5,85.0
413.0,85.3
413.5,85.5
414.0,85.7
414.5,85.9
415.0,86.1
415.5,86.3
416.0,86.5
416.5,86.7
417.0,86.8
417.5,87.0
418.0,87.2
418.5,87.3
419.0,87.5
419.5,87.6
420.0,87.8
420.5,87.9
421.0,88.0
421.5,88.2
422.0,88.3
422.5,88.3
423.0,88.4
423.5,88.4
424.0,88.4
424.5,88.4
425.0,88.5
425.5,88.6
426.0,88.7
426.5,88.8
427.0,88.8
427.5,88.8
428.0,88.9
428.5,89.0
429.0,89.0
429.5,89.1
430.0,89.2
430.5,89.2
431.0,89.2
431.5,89.2
432.0,89.3
432.5,89.3
433.0,89.4
433.5,89.4
434.0,89.5
434.5,89.5
435.0,89.5
435.5,89.5
436.0,89.5
436.5,89.5
437.0,89.5
437.5,89.5
438.0,89.6
438.5,89.6
439.0,89.6
439.5,89.6
440.0,89.6
440.5,89.6
441.0,89.6
441.5,89.7
442.0,89.7
442.5,89.7
443.0,89.7
443.5,89.7
444.0,89.8
444.5,89.8
445.0,89.8
445.5,89.8
446.0,89.8
446.5,89.8
447.0,89.8
447.5,89.8
448.0,89.8
448.5,89.8
449.0,89.8
449.5,89.8
450.0,89.8
450.5,89.8
451.0,89.7
451.5,89.7
452.0,89.7
452.5,89.7
453.0,89.8
453.5,89.8
454.0,89.8
454.5,89.8
455.0,89.8
455.5,89.8
456.0,89.8
456.5,89.8
457.0,89.8
457.5,89.9
458.0,89.9
458.5,89.8
459.0,89.8
459.5,89.8
460.0,89.7
460.5,89.7
461.0,89.7
461.5,89.7
462.0,89.7
462.5,89.7
463.0,89.7
463.5,89.7
464.0,89.7
464.5,89.7
465.0,89.7
465.5,89.7
466.0,89.7
466.5,89.7
467.0,89.7
467.5,89.8
468.0,89.8
468.5,89.8
469.0,89.8
469.5,89.8
470.0,89.8
470.5,89.8
471.0,89.7
471.5,89.7
472.0,89.8
472.5,89.8
473.0,89.8
473.5,89.8
474.0,89.8
474.5,89.8
475.0,89.8
475.5,89.8
476.0,89.8
476.5,89.7
477.0,89.8
477.5,89.8
478.0,89.7
478.5,89.7
479.0,89.7
479.5,89.6
480.0,89.6
480.5,89.7
481.0,89.7
481.5,89.7
482.0,89.7
482.5,89.7
483.0,89.7
483.5,89.7
484.0,89.7
484.5,89.7
485.0,89.7
485.5,89.7
486.0,89.6
486.5,89.6
487.0,89.7
487.5,89.7
488.0,89.7
488.5,89.7
489.0,89.7
489.5,89.7
490.0,89.7
490.5,89.6
491.0,89.6
491.5,89.6
492.0,89.6
492.5,89.7
493.0,89.7
493.5,89.7
494.0,89.7
494.5,89.6
495.0,89.6
495.5,89.6
496.0,89.7
496.5,89.7
497.0,89.7
497.5,89.7
498.0,89.7
498.5,89.7
499.0,89.6
499.5,89.6
500.0,89.6
500.5,89.5
501.0,89.5
501.5,89.5
502.0,89.5
502.5,89.5
503.0,89.5
503.5,89.5
504.0,89.5
504.5,89.6
505.0,89.6
505.5,89.6
506.0,89.6
506.5,89.6
507.0,89.6
507.5,89.6
508.0,89.6
508.5,89.5
509.0,89.5
509.5,89.4
510.0,89.4
510.5,89.4
511.0,89.4
511.5,89.4
512.0,89.4
512.5,89.4
513.0,89.4
513.5,89.5
514.0,89.5
514.5,89.5
515.0,89.5
515.5,89.5
516.0,89.4
516.5,89.4
517.0,89.4
517.5,89.4
518.0,89.4
518.5,89.4
519.0,89.4
519.5,89.4
520.0,89.3
520.5,89.3
521.0,89.3
521.5,89.3
522.0,89.3
522.5,89.3
523.0,89.3
523.5,89.3
524.0,89.3
524.5,89.3
525.0,89.2
525.5,89.2
526.0,89.2
526.5,89.2
527.0,89.2
527.5,89.2
528.0,89.2
528.5,89.2
529.0,89.2
529.5,89.2
530.0,89.2
530.5,89.2
531.0,89.2
531.5,89.2
532.0,89.2
532.5,89.3
533.0,89.3
533.5,89.3
534.0,89.2
534.5,89.2
535.0,89.2
535.5,89.2
536.0,89.1
536.5,89.1
537.0,89.1
537.5,89.1
538.0,89.0
538.5,89.0
539.0,89.0
539.5,89.0
540.0,89.0
540.5,89.0
541.0,89.0
541.5,89.0
542.0,89.0
542.5,88.9
543.0,89.0
543.5,89.0
544.0,88.9
544.5,88.9
545.0,88.9
545.5,88.9
546.0,88.9
546.5,88.9
547.0,88.9
547.5,88.9
548.0,88.8
548.5,88.8
549.0,88.8
549.5,88.8
550.0,88.8
550.5,88.8
551.0,88.8
551.5,88.8
552.0,88.8
552.5,88.8
553.0,88.8
553.5,88.8
554.0,88.8
554.5,88.8
555.0,88.8
555.5,88.8
556.0,88.8
556.5,88.8
557.0,88.7
557.5,88.7
558.0,88.7
558.5,88.7
559.0,88.7
559.5,88.8
560.0,88.8
560.5,88.8
561.0,88.8
561.5,88.8
562.0,88.7
562.5,88.7
563.0,88.7
563.5,88.7
564.0,88.6
564.5,88.6
