²¨³¤(nm)	ly-511-03 - RawData
350.0	0.0
350.5	0.0
351.0	0.0
351.5	0.0
352.0	0.0
352.5	0.0
353.0	0.0
353.5	0.1
354.0	0.0
354.5	0.0
355.0	0.0
355.5	0.0
356.0	0.0
356.5	0.1
357.0	0.0
357.5	0.0
358.0	0.0
358.5	0.0
359.0	0.0
359.5	0.0
360.0	0.0
360.5	0.0
361.0	0.1
361.5	0.1
362.0	0.1
362.5	0.1
363.0	0.1
363.5	0.1
364.0	0.0
364.5	0.0
365.0	0.1
365.5	0.0
366.0	0.0
366.5	0.1
367.0	0.0
367.5	0.0
368.0	0.0
368.5	0.1
369.0	0.0
369.5	0.0
370.0	0.1
370.5	0.0
371.0	0.0
371.5	0.1
372.0	0.1
372.5	0.1
373.0	0.1
373.5	0.1
374.0	0.1
374.5	0.1
375.0	0.1
375.5	0.1
376.0	0.1
376.5	0.1
377.0	0.1
377.5	0.1
378.0	0.1
378.5	0.1
379.0	0.1
379.5	0.1
380.0	0.1
380.5	0.1
381.0	0.1
381.5	0.1
382.0	0.1
382.5	0.1
383.0	0.1
383.5	0.1
384.0	0.1
384.5	0.1
385.0	0.1
385.5	0.1
386.0	0.1
386.5	0.1
387.0	0.1
387.5	0.1
388.0	0.1
388.5	0.1
389.0	0.1
389.5	0.1
390.0	0.1
390.5	0.2
391.0	0.2
391.5	0.2
392.0	0.2
392.5	0.2
393.0	0.2
393.5	0.2
394.0	0.3
394.5	0.3
395.0	0.3
395.5	0.3
396.0	0.4
396.5	0.4
397.0	0.4
397.5	0.5
398.0	0.5
398.5	0.5
399.0	0.6
399.5	0.6
400.0	0.7
400.5	0.7
401.0	0.8
401.5	0.8
402.0	0.9
402.5	0.9
403.0	1.0
403.5	1.1
404.0	1.1
404.5	1.2
405.0	1.3
405.5	1.3
406.0	1.4
406.5	1.5
407.0	1.5
407.5	1.6
408.0	1.7
408.5	1.7
409.0	1.8
409.5	1.9
410.0	2.0
410.5	2.0
411.0	2.1
411.5	2.2
412.0	2.2
412.5	2.3
413.0	2.4
413.5	2.4
414.0	2.5
414.5	2.6
415.0	2.6
415.5	2.7
416.0	2.7
416.5	2.8
417.0	2.9
417.5	2.9
418.0	3.0
418.5	3.0
419.0	3.1
419.5	3.1
420.0	3.2
420.5	3.2
421.0	3.3
421.5	3.3
422.0	3.3
422.5	3.4
423.0	3.4
423.5	3.5
424.0	3.5
424.5	3.5
425.0	3.6
425.5	3.6
426.0	3.6
426.5	3.7
427.0	3.7
427.5	3.7
428.0	3.8
428.5	3.8
429.0	3.8
429.5	3.8
430.0	3.9
430.5	3.9
431.0	3.9
431.5	3.9
432.0	4.0
432.5	4.0
433.0	4.0
433.5	4.0
434.0	4.1
434.5	4.1
435.0	4.1
435.5	4.1
436.0	4.1
436.5	4.2
437.0	4.2
437.5	4.2
438.0	4.2
438.5	4.3
439.0	4.3
439.5	4.3
440.0	4.3
440.5	4.3
441.0	4.3
441.5	4.4
442.0	4.4
442.5	4.4
443.0	4.4
443.5	4.4
444.0	4.4
444.5	4.5
445.0	4.5
445.5	4.5
446.0	4.5
446.5	4.5
447.0	4.5
447.5	4.6
448.0	4.6
448.5	4.6
449.0	4.6
449.5	4.6
450.0	4.6
450.5	4.6
451.0	4.7
451.5	4.7
452.0	4.7
452.5	4.7
453.0	4.7
453.5	4.7
454.0	4.7
454.5	4.7
455.0	4.8
455.5	4.8
456.0	4.8
456.5	4.8
457.0	4.8
457.5	4.8
458.0	4.8
458.5	4.9
459.0	4.9
459.5	4.9
460.0	4.9
460.5	4.9
461.0	4.9
461.5	4.9
462.0	4.9
462.5	5.0
