²¨³¤(nm)	ly-511-X-X-130 - RawData
350.0	0.1
350.5	0.1
351.0	0.1
351.5	0.1
352.0	0.0
352.5	0.0
353.0	0.0
353.5	0.0
354.0	0.0
354.5	0.0
355.0	0.0
355.5	0.0
356.0	0.0
356.5	0.0
357.0	0.0
357.5	0.0
358.0	0.0
358.5	0.0
359.0	0.0
359.5	0.0
360.0	0.0
360.5	0.0
361.0	0.0
361.5	0.0
362.0	0.0
362.5	0.0
363.0	0.0
363.5	0.0
364.0	0.0
364.5	0.0
365.0	0.0
365.5	0.0
366.0	0.0
366.5	0.0
367.0	0.0
367.5	0.0
368.0	0.0
368.5	0.0
369.0	0.0
369.5	0.0
370.0	0.0
370.5	0.0
371.0	0.0
371.5	0.1
372.0	0.1
372.5	0.1
373.0	0.1
373.5	0.1
374.0	0.1
374.5	0.1
375.0	0.1
375.5	0.1
376.0	0.1
376.5	0.1
377.0	0.1
377.5	0.1
378.0	0.1
378.5	0.1
379.0	0.1
379.5	0.1
380.0	0.1
380.5	0.1
381.0	0.1
381.5	0.1
382.0	0.1
382.5	0.1
383.0	0.1
383.5	0.1
384.0	0.1
384.5	0.1
385.0	0.1
385.5	0.1
386.0	0.1
386.5	0.1
387.0	0.1
387.5	0.1
388.0	0.1
388.5	0.1
389.0	0.1
389.5	0.1
390.0	0.2
390.5	0.2
391.0	0.2
391.5	0.2
392.0	0.2
392.5	0.2
393.0	0.2
393.5	0.2
394.0	0.3
394.5	0.3
395.0	0.3
395.5	0.3
396.0	0.3
396.5	0.4
397.0	0.4
397.5	0.4
398.0	0.4
398.5	0.5
399.0	0.5
399.5	0.5
400.0	0.5
400.5	0.6
401.0	0.6
401.5	0.6
402.0	0.7
402.5	0.7
403.0	0.7
403.5	0.8
404.0	0.8
404.5	0.8
405.0	0.9
405.5	0.9
406.0	1.0
406.5	1.0
407.0	1.0
407.5	1.1
408.0	1.1
408.5	1.1
409.0	1.2
409.5	1.2
410.0	1.2
410.5	1.3
411.0	1.3
411.5	1.4
412.0	1.4
412.5	1.4
413.0	1.5
413.5	1.5
414.0	1.5
414.5	1.5
415.0	1.6
415.5	1.6
416.0	1.6
416.5	1.7
417.0	1.7
417.5	1.7
418.0	1.7
418.5	1.8
419.0	1.8
419.5	1.8
420.0	1.8
420.5	1.9
421.0	1.9
421.5	1.9
422.0	1.9
422.5	2.0
423.0	2.0
423.5	2.0
424.0	2.0
424.5	2.0
425.0	2.1
425.5	2.1
426.0	2.1
426.5	2.1
427.0	2.1
427.5	2.2
428.0	2.2
428.5	2.2
429.0	2.2
429.5	2.2
430.0	2.2
430.5	2.3
431.0	2.3
431.5	2.3
432.0	2.3
432.5	2.3
433.0	2.4
433.5	2.4
434.0	2.4
434.5	2.4
435.0	2.4
435.5	2.4
436.0	2.4
436.5	2.5
437.0	2.5
437.5	2.5
438.0	2.5
438.5	2.5
439.0	2.5
439.5	2.6
440.0	2.6
440.5	2.6
441.0	2.6
441.5	2.6
442.0	2.6
442.5	2.6
443.0	2.7
443.5	2.7
444.0	2.7
444.5	2.7
445.0	2.7
445.5	2.7
446.0	2.7
446.5	2.8
447.0	2.8
447.5	2.8
448.0	2.8
448.5	2.8
449.0	2.8
449.5	2.8
450.0	2.9
450.5	2.9
451.0	2.9
451.5	2.9
452.0	2.9
452.5	2.9
453.0	2.9
453.5	2.9
454.0	3.0
454.5	3.0
455.0	3.0
455.5	3.0
456.0	3.0
456.5	3.0
457.0	3.0
457.5	3.0
458.0	3.1
458.5	3.1
459.0	3.1
459.5	3.1
460.0	3.1
460.5	3.1
461.0	3.1
461.5	3.1
462.0	3.2
462.5	3.2
463.0	3.2
463.5	3.2
464.0	3.2
464.5	3.2
465.0	3.2
465.5	3.2
466.0	3.2
466.5	3.3
467.0	3.3
467.5	3.3
468.0	3.3
468.5	3.3
469.0	3.3
469.5	3.3
470.0	3.3
470.5	3.4
471.0	3.4
471.5	3.4
472.0	3.4
472.5	3.4
473.0	3.4
473.5	3.4
474.0	3.4
474.5	3.4
475.0	3.5
475.5	3.5
476.0	3.5
476.5	3.5
