²¨³¤(nm)	LY-511-06 - RawData
350.0	0.1
350.5	0.1
351.0	0.1
351.5	0.1
352.0	0.1
352.5	0.1
353.0	0.1
353.5	0.1
354.0	0.1
354.5	0.1
355.0	0.1
355.5	0.1
356.0	0.1
356.5	0.1
357.0	0.1
357.5	0.1
358.0	0.1
358.5	0.1
359.0	0.1
359.5	0.1
360.0	0.1
360.5	0.1
361.0	0.1
361.5	0.1
362.0	0.1
362.5	0.1
363.0	0.1
363.5	0.1
364.0	0.1
364.5	0.1
365.0	0.1
365.5	0.1
366.0	0.1
366.5	0.1
367.0	0.1
367.5	0.1
368.0	0.1
368.5	0.2
369.0	0.2
369.5	0.2
370.0	0.2
370.5	0.2
371.0	0.2
371.5	0.2
372.0	0.2
372.5	0.3
373.0	0.3
373.5	0.3
374.0	0.3
374.5	0.3
375.0	0.4
375.5	0.4
376.0	0.4
376.5	0.4
377.0	0.4
377.5	0.5
378.0	0.5
378.5	0.5
379.0	0.5
379.5	0.6
380.0	0.6
380.5	0.6
381.0	0.7
381.5	0.7
382.0	0.7
382.5	0.8
383.0	0.8
383.5	0.9
384.0	0.9
384.5	1.0
385.0	1.1
385.5	1.1
386.0	1.2
386.5	1.3
387.0	1.3
387.5	1.4
388.0	1.5
388.5	1.6
389.0	1.7
389.5	1.8
390.0	1.9
390.5	2.0
391.0	2.1
391.5	2.2
392.0	2.3
392.5	2.4
393.0	2.6
393.5	2.7
394.0	2.8
394.5	3.0
395.0	3.1
395.5	3.2
396.0	3.4
396.5	3.5
397.0	3.6
397.5	3.8
398.0	3.9
398.5	4.1
399.0	4.2
399.5	4.4
400.0	4.5
400.5	4.6
401.0	4.8
401.5	4.9
402.0	5.1
402.5	5.2
403.0	5.4
403.5	5.5
404.0	5.6
404.5	5.8
405.0	5.9
405.5	6.0
406.0	6.2
406.5	6.3
407.0	6.4
407.5	6.5
408.0	6.6
408.5	6.7
409.0	6.8
409.5	6.9
410.0	7.0
410.5	7.1
411.0	7.2
411.5	7.3
412.0	7.4
412.5	7.5
413.0	7.6
413.5	7.7
414.0	7.7
414.5	7.8
415.0	7.9
415.5	8.0
416.0	8.0
416.5	8.1
417.0	8.1
417.5	8.2
418.0	8.2
418.5	8.3
419.0	8.3
419.5	8.4
420.0	8.4
420.5	8.5
421.0	8.5
421.5	8.6
422.0	8.6
422.5	8.6
423.0	8.7
423.5	8.7
424.0	8.8
424.5	8.8
425.0	8.8
425.5	8.9
426.0	8.9
426.5	8.9
427.0	9.0
427.5	9.0
428.0	9.0
428.5	9.0
429.0	9.1
429.5	9.1
430.0	9.1
430.5	9.1
431.0	9.2
431.5	9.2
432.0	9.2
432.5	9.2
433.0	9.3
433.5	9.3
434.0	9.3
434.5	9.3
435.0	9.3
435.5	9.4
436.0	9.4
436.5	9.4
437.0	9.4
437.5	9.4
438.0	9.5
438.5	9.5
439.0	9.5
439.5	9.5
440.0	9.6
440.5	9.6
441.0	9.6
441.5	9.6
442.0	9.6
442.5	9.6
443.0	9.7
443.5	9.7
444.0	9.7
444.5	9.7
445.0	9.7
445.5	9.7
446.0	9.8
446.5	9.8
447.0	9.8
447.5	9.8
448.0	9.8
448.5	9.8
449.0	9.8
449.5	9.9
450.0	9.9
450.5	9.9
451.0	9.9
451.5	9.9
452.0	9.9
452.5	9.9
453.0	9.9
453.5	10.0
454.0	10.0
454.5	10.0
455.0	10.0
455.5	10.0
456.0	10.0
456.5	10.0
457.0	10.1
457.5	10.1
458.0	10.1
458.5	10.1
459.0	10.1
459.5	10.1
460.0	10.2
460.5	10.2
461.0	10.2
461.5	10.2
462.0	10.2
462.5	10.2
463.0	10.2
463.5	10.2
464.0	10.3
464.5	10.3
465.0	10.3
465.5	10.3
466.0	10.3
466.5	10.3
467.0	10.3
467.5	10.3
468.0	10.4
468.5	10.4
469.0	10.4
469.5	10.4
470.0	10.4
470.5	10.4
471.0	10.4
471.5	10.4
472.0	10.4
472.5	10.5
473.0	10.5
473.5	10.5
474.0	10.5
474.5	10.5
475.0	10.5
475.5	10.5
476.0	10.5
476.5	10.5
477.0	10.6
