wavelength_nm,glass_diffuse_reflectance,glass_diffuse_transmittance,glass_reflectance_percent,glass_transmittance_percent,source_R_file,source_T_file
350.0,0.033,0.032,3.3,3.2,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
350.5,0.033,0.032,3.3,3.2,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.0,0.033,0.032,3.3,3.2,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.5,0.033,0.031,3.3,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.0,0.033,0.031,3.3,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.5,0.033,0.031,3.3,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.0,0.032,0.031,3.2,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.5,0.032,0.031,3.2,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.0,0.032,0.031,3.2,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.5,0.032,0.031,3.2,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
355.0,0.032,0.031,3.2,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
355.5,0.032,0.031,3.2,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
356.0,0.031,0.031,3.1,3.1,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
356.5,0.031,0.03,3.1,3,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
357.0,0.031,0.03,3.1,3,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
357.5,0.031,0.03,3.1,3,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
358.0,0.031,0.03,3.1,3,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
358.5,0.031,0.03,3.1,3,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
359.0,0.031,0.03,3.1,3,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
359.5,0.031,0.029,3.1,2.9,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
360.0,0.03,0.029,3,2.9,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
360.5,0.03,0.029,3,2.9,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
361.0,0.03,0.029,3,2.9,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
361.5,0.03,0.029,3,2.9,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
362.0,0.03,0.028,3,2.8,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
362.5,0.029,0.028,2.9,2.8,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
363.0,0.029,0.028,2.9,2.8,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
363.5,0.029,0.028,2.9,2.8,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
364.0,0.029,0.028,2.9,2.8,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
364.5,0.028,0.027,2.8,2.7,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
365.0,0.028,0.027,2.8,2.7,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
365.5,0.028,0.027,2.8,2.7,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
366.0,0.028,0.027,2.8,2.7,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
366.5,0.027,0.026,2.7,2.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
367.0,0.027,0.026,2.7,2.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
367.5,0.027,0.026,2.7,2.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
368.0,0.026,0.026,2.6,2.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
