lambda_nm,bin_id,cos_theta_min,cos_theta_max,count_mean,count_std,probability_mean,probability_std,probability_density_mean,probability_density_std
450.0,0,-1.0,-0.96875,212.2,25.93646082255634,0.001393308,0.00016895998319128706,0.04458584,0.00540678803616343
450.0,1,-0.96875,-0.9375,198.0,13.946325680981353,0.001300338,9.405421558866998e-05,0.041610720000000004,0.003009747875985629
450.0,2,-0.9375,-0.90625,196.2,19.7914122790669,0.001288458,0.00013087789163949734,0.04123064,0.004188042472086451
450.0,3,-0.90625,-0.875,212.0,11.958260743101398,0.001391886,7.302592334233097e-05,0.04454042,0.002336818015379032
450.0,4,-0.875,-0.84375,191.2,12.6372465355393,0.001255234,7.710243595373628e-05,0.04016746,0.002467255502172405
450.0,5,-0.84375,-0.8125,204.8,9.17605579756357,0.001344842,6.005863942847855e-05,0.04303496,0.0019219604816436786
450.0,6,-0.8125,-0.78125,206.4,17.952715672009067,0.001355284,0.0001167865764118462,0.04336914,0.003737074509960968
450.0,7,-0.78125,-0.75,217.4,10.526157893552615,0.0014278580000000002,7.617673739403651e-05,0.04569152,0.002437655003686944
450.0,8,-0.75,-0.71875,224.4,18.283872675120005,0.001473716,0.00012255797130337955,0.047158939999999996,0.003921773372850603
450.0,9,-0.71875,-0.6875,221.2,21.016660058153864,0.001452184,0.0001335161770348447,0.0464699,0.004272511978333121
450.0,10,-0.6875,-0.65625,228.2,14.042791745233567,0.0014988080000000001,9.786874996647294e-05,0.04796186,0.0031317230326131963
450.0,11,-0.65625,-0.625,237.2,14.20211251891774,0.0015573,8.655207680928282e-05,0.04983362,0.002769703535037639
450.0,12,-0.625,-0.59375,260.4,20.0074985942771,0.0017096199999999998,0.00012610496560405544,0.05470782,0.004035288545692861
450.0,13,-0.59375,-0.5625,289.6,14.152738250953417,0.001901808,9.562469670540136e-05,0.06085786,0.0030600309423272167
450.0,14,-0.5625,-0.53125,319.6,41.40410607657168,0.0020983399999999998,0.0002681427225378306,0.0671469,0.008580611756454196
450.0,15,-0.53125,-0.5,362.2,15.238110119040353,0.002378306,9.602649025138851e-05,0.07610576,0.0030728356705167293
450.0,16,-0.5,-0.46875,450.2,37.45263675630863,0.0029558460000000003,0.00023937618329733637,0.09458706,0.007660011642810997
450.0,17,-0.46875,-0.4375,609.0,38.99358921669048,0.003999707999999999,0.0002680915657382754,0.1279906,0.008579023301052396
450.0,18,-0.4375,-0.40625,1584.0,287.1045105880435,0.010395386,0.0018381534049093948,0.3326518,0.05882006159211327
450.0,19,-0.40625,-0.375,2822.0,908.908686282621,0.0185222,0.005950753004872576,0.5927104,0.19042401742243545
450.0,20,-0.375,-0.34375,2561.0,731.953550438824,0.01680524,0.004732310794210371,0.5377682,0.15143435614549294
450.0,21,-0.34375,-0.3125,3020.0,535.603864810552,0.01982656,0.003491452010696983,0.6344506,0.11172709927452697
450.0,22,-0.3125,-0.28125,4064.2,297.4284787978448,0.02669026,0.001989309119518633,0.8540882,0.06365809015514054
450.0,23,-0.28125,-0.25,3175.6,1083.151328300898,0.02087796,0.0072094650843873296,0.6680938000000001,0.23070267436616335
450.0,24,-0.25,-0.21875,3311.8,399.92086717249447,0.0217415,0.002568399317668497,0.6957274,0.08218881552437654
450.0,25,-0.21875,-0.1875,2740.2,412.7259381235931,0.017992420000000002,0.002697303849587585,0.575758,0.08631370138917689
450.0,26,-0.1875,-0.15625,2508.6,703.4641426540517,0.016468933999999998,0.004599496142870434,0.5270056000000001,0.14718405200734216
450.0,27,-0.15625,-0.125,2666.4,639.6614729683193,0.017504819999999997,0.004177826906060135,0.560154,0.13368970172006517
450.0,28,-0.125,-0.09375,2239.0,314.4383882416395,0.014702799999999999,0.0020641121008801826,0.47048940000000006,0.06605223358297584
450.0,29,-0.09375,-0.0625,2690.0,342.2813170478342,0.017673559999999998,0.0023429657120837256,0.5655532,0.07497498021807007
450.0,30,-0.0625,-0.03125,2529.0,409.75419460940236,0.01661136,0.0027223806388894265,0.531564,0.08711554331748153
450.0,31,-0.03125,0.0,2726.0,337.08381746978006,0.01789494,0.0021435361153943734,0.572638,0.06859354221790855
450.0,32,0.0,0.03125,2188.4,667.7655277116362,0.014377832000000002,0.0044287032292895856,0.46009120000000003,0.14171886276956921
450.0,33,0.03125,0.0625,2739.4,405.0793749378015,0.0179898,0.002670564988911523,0.5756742,0.08545775277995557
450.0,34,0.0625,0.09375,2873.6,682.9204199612134,0.01887078,0.004485423794581734,0.6038648,0.14353456647337604
450.0,35,0.09375,0.125,2272.4,247.6576265734613,0.014923780000000001,0.0016491091798301284,0.47756119999999996,0.05277171334815653
450.0,36,0.125,0.15625,2270.2,417.88838222664197,0.01491038,0.0027556317527928148,0.47713160000000004,0.08817987425314237
450.0,37,0.15625,0.1875,2370.4,662.0202413823915,0.015567929999999999,0.004358555961496881,0.4981738,0.13947394029244317
450.0,38,0.1875,0.21875,2757.0,435.1189492541091,0.018106320000000002,0.0028681320823839324,0.5794016,0.09177984518563977
450.0,39,0.21875,0.25,2068.4,403.3593930975204,0.0135773,0.0026218123531252186,0.4344734,0.08389720249984502
